Dataset,Spuntik_time,Sputnik_gflops,cuSparse_time,cuSparse_gflops,ours_time,ours_gflops
cyl6, 2.323456, 786.955691, 2.662400, 686.770190, 2.623488, 696.956493
cz10228, 0.583680, 451.210546, 0.738304, 356.712890, 0.583680, 451.210546
cz20468, 1.250304, 421.941037, 1.298432, 406.301264, 1.014784, 519.868830
cz40948, 2.533376, 416.479389, 2.404352, 438.828800, 1.849344, 570.526020
d_pretok, 9.415680, 446.349106, 9.814016, 428.232456, 6.348800, 661.964497
darcy003, 16.877567, 318.717705, 19.610624, 274.299249, 12.682240, 424.150601
dawson5, 4.473856, 578.380068, 4.555776, 567.979868, 3.329024, 777.281588
dbic1, 7.299072, 379.434284, 7.798784, 355.121793, 5.899264, 469.468419
dbir1, 7.899136, 349.048804, 5.284864, 521.713336, 4.478976, 615.583593
dbir2, 9.537536, 310.865106, 5.641216, 525.575894, 4.756480, 623.336355
dblp-2010, 14.701568, 281.291363, 11.577344, 357.199719, 8.845312, 467.527199
dc1, 177.951736, 11.025314, 7.117824, 275.642351, 3.899392, 503.148649
dc2, 178.030594, 11.020430, 7.134208, 275.009322, 3.921920, 500.258478
dc3, 178.178055, 11.011310, 7.148544, 274.457820, 3.904512, 502.488863
de2010, 1.035264, 286.983181, 1.336320, 222.329495, 0.815104, 364.497484
debr, 40.028160, 268.246226, 45.483009, 236.075032, 30.809088, 348.514145
degme, 974.560242, 21.349600, 50.216961, 414.331559, 35.516415, 585.826917
delaunay_n15, 1.541120, 326.491683, 1.623040, 310.012626, 1.110016, 453.293363
delaunay_n16, 3.254272, 309.274703, 3.059712, 328.940770, 2.084864, 482.748058
delaunay_n17, 6.773760, 297.185192, 5.867520, 343.085523, 3.987456, 504.848474
delaunay_n18, 13.718528, 293.497056, 11.433984, 352.138641, 7.806976, 515.737156
delaunay_n19, 27.781120, 289.867855, 22.387712, 359.699713, 15.383552, 523.471690
delaunay_n20, 55.420929, 290.610652, 44.773376, 359.720745, 30.642176, 525.612557
delaunay_n21, 110.869507, 290.539842, 88.848381, 362.550320, 61.443073, 524.257776
delaunay_n22, 222.330887, 289.767608, 180.388870, 357.141154, 122.697731, 525.065042
deltaX, 2.364416, 267.890875, 2.154496, 293.992402, 1.531904, 413.475941
denormal, 5.623808, 526.321931, 5.712896, 518.114369, 4.087808, 724.088153
dictionary28, 1.929216, 236.300421, 2.208768, 206.393149, 1.266688, 359.894910
dielFilterV2clx, 110.182404, 588.040687, 103.939072, 623.362661, 90.261505, 717.822467
dielFilterV2real, 212.618240, 584.426420, 203.375610, 610.986327, 173.488129, 716.243342
dielFilterV3clx, 113.787903, 739.873839, 136.723450, 615.758984, 108.754944, 774.113705
dielFilterV3real, 349.295624, 654.526984, 381.049866, 599.982920, 294.791168, 775.543625
dixmaanl, 2.682880, 286.257642, 2.975744, 258.084996, 2.126848, 361.095333
e18, 1.166336, 343.428428, 1.377280, 290.828997, 0.866304, 462.369987
e40r0100, 2.172928, 652.170094, 2.372608, 597.283138, 2.033664, 696.830316
ecl32, 2.610176, 373.102185, 2.768896, 351.715039, 1.743872, 558.448312
ecology1, 39.628799, 322.739023, 35.351551, 361.787803, 24.387585, 524.437338
ecology2, 39.609344, 322.896961, 35.353600, 361.766189, 24.564735, 520.654375
email-Enron, 3.717120, 253.210748, 2.563072, 367.221339, 1.897472, 496.036151
email-EuAll, 8.064000, 133.347617, 5.646336, 190.444774, 4.789248, 224.526941
engine, 17.722368, 679.793283, 20.259840, 594.651630, 14.545920, 828.242323
enron, 3.861504, 183.070137, 2.768896, 255.309717, 1.938432, 364.689650
epb2, 1.193984, 375.272289, 1.377280, 325.328997, 0.959488, 466.987739
epb3, 4.032512, 294.327691, 3.277824, 362.093885, 2.532352, 468.686823
eu-2005, 74.950653, 656.991719, 76.179459, 646.394176, 63.782913, 772.024292
ex11, 3.529728, 795.581680, 4.157440, 675.460561, 3.328000, 843.806136
ex19, 1.114112, 597.148427, 1.284096, 518.100079, 0.904192, 735.784282
ex35, 1.261568, 463.084434, 1.443840, 404.624106, 1.068032, 546.999028
fcondp2, 32.416767, 891.928824, 39.668736, 728.872463, 33.452030, 864.325687
