Dataset,ASpT,Sputnik,RoDe
kron_g500-logn18,16.664576,5.542144,0.080896
kron_g500-logn19,23.118849,1.978560,0.122880
kron_g500-logn20,38.940674,2.006176,0.116736
kron_g500-logn21,69.391357,2.236256,0.224256
ks2010,0.086912,0.895072,0.067584
ky2010,0.083296,0.908288,0.067584
la2010,0.084160,0.937120,0.067584
laminar_duct3D,0.179200,0.417888,0.061440
language,5.236736,1.364736,0.084992
largebasis,0.123968,1.999968,0.079872
ldoor,19.639999,1.954848,0.101376
lhr10,0.112640,0.392192,0.051200
lhr10c,0.113664,0.393216,0.052224
lhr11,0.114688,0.392192,0.053248
lhr11c,0.112640,0.393216,0.053248
lhr14,0.119808,0.386048,0.052224
lhr14c,0.112640,0.387072,0.054272
lhr17,0.112640,0.388096,0.056320
lhr17c,0.114688,0.389120,0.055296
lhr34,0.117760,0.422912,0.060416
lhr34c,0.114688,0.416128,0.057344
lhr71,0.123904,0.403904,0.058368
lhr71c,0.122880,0.402624,0.061440
li,4.629504,0.419616,0.053248
light_in_tissue,0.083776,0.390656,0.054272
ljournal-2008,37.947392,2.850176,0.311296
lowThrust_10,0.184320,0.408256,0.053248
lowThrust_11,0.185344,0.407424,0.054272
lowThrust_12,0.186368,0.416192,0.051200
lowThrust_13,0.188416,0.405600,0.052224
lowThrust_4,0.169984,0.397312,0.051200
lowThrust_5,0.179200,0.402432,0.052224
lowThrust_6,0.175104,0.402176,0.053248
lowThrust_7,0.179200,0.415584,0.052224
lowThrust_8,0.185344,0.407520,0.052224
lowThrust_9,0.186368,0.411008,0.054272
lp1,7.321600,1.963648,0.103424
lp_ken_18,4.531328,0.952000,0.061440
lp_nug20,0.094560,0.363520,0.053248
lp_nug30,0.113856,0.873376,0.058368
lp_osa_60,11.010048,0.416768,0.072704
lp_pds_10,0.074432,0.397088,0.051200
lp_pds_20,0.084768,0.455424,0.054272
lpl1,0.158720,0.414816,0.057344
lpl3,0.204800,0.403456,0.051200
lung2,0.090304,0.886016,0.060416
luxembourg_osm,0.078464,0.880768,0.060416
m133-b3,0.084352,0.869984,0.066560
m14b,0.098432,0.897408,0.066560
m_t1,10.808320,0.673216,0.064512
ma2010,0.083072,0.889248,0.065536
mac_econ_fwd500,0.084576,1.686464,0.069632
majorbasis,0.093664,2.863552,0.066560
mario001,0.072480,0.386624,0.053248
mario002,0.104672,1.378688,0.104448
mark3jac040,0.072448,0.385536,0.053248
mark3jac040sc,0.072288,0.383488,0.052224
mark3jac060,0.072416,0.388096,0.054272
mark3jac060sc,0.071264,0.391584,0.053248
