Dataset,ASpT_time,ASpT_gflops
sc2010,2.174880,262.829394
sc205-2r,0.366752,215.058024
scagr7-2r,0.279680,274.922183
scfxm1-2b,0.306848,231.623743
scfxm1-2r,0.631072,224.520060
scircuit,2.699392,227.354538
sctap1-2r,0.421248,283.144948
sd2010,1.118880,234.933212
sgpf5y6,3.031392,175.650204
shallow_water1,0.862112,243.257493
shallow_water2,0.865184,242.393754
shar_te2-b2,1.936256,198.519199
shar_te2-b3,2.103712,243.622692
shermanACb,1.106944,83.920562
ship_001,4.427776,671.286735
ship_003,8.412160,615.188229
shipsec1,8.233984,607.309726
shipsec5,10.742784,602.486442
shipsec8,7.065600,602.662960
shock-9,0.300544,303.620109
shuttle_eddy,0.197472,335.760806
shyy161,0.837728,251.928638
sinc15,0.595968,610.530490
sinc18,0.924672,674.021312
skirt,0.271904,462.563272
sls,15.845440,274.826990
smallworld,1.637408,390.860087
sme3Da,1.287168,435.007449
sme3Db,2.692096,494.737306
sme3Dc,3.828736,526.319862
smt,3.523584,681.703015
soc-Epinions1,2.163712,150.507866
soc-LiveJournal1,150.659073,293.085666
soc-Slashdot0811,2.860032,202.619937
soc-Slashdot0902,2.924544,207.559517
soc-sign-Slashdot081106,1.851392,178.572660
soc-sign-Slashdot090216,1.908736,182.963721
soc-sign-Slashdot090221,1.915904,183.458708
soc-sign-epinions,3.444736,156.319114
south31,0.528448,136.124504
spal_004,70.974464,416.313101
