Dataset,Sputnik_time,Sputnik_gflops,ours_time,ours_gflops
stokes64s, 16.791552, 21.349250, 0.299008,1198.921185
stomach, 4752.204590, 1.627754, 4.935680,1567.244841
stormG2_1000, 75808.875000, 0.116837, 9.775104,906.107572
stormg2-125, 1191.635986, 0.930767, 1.414144,784.315692
struct3, 302.105591, 9.945717, 1.690624,1777.247124
t2dah, 14.003200, 32.196893, 0.349184,1291.180328
t2dah_a, 14.005248, 32.192184, 0.346112,1302.640484
t2dah_e, 14.006272, 32.189830, 0.349184,1291.180328
t2em, 88514.476562, 0.132775, 11.314176,1038.743814
t3dh, 663.310364, 16.796645, 6.635520,1679.052860
t3dh_a, 663.315430, 16.796517, 6.637568,1678.534789
t3dh_e, 663.306213, 16.796750, 6.630400,1680.349375
t3dl, 44.210175, 29.523904, 0.856064,1524.718861
t3dl_a, 44.383232, 29.408786, 0.852992,1530.210087
t60k, 376.796173, 1.215333, 0.795648,575.546991
tandem_dual, 924.853271, 1.274648, 1.350656,872.807030
tandem_vtx, 36.122623, 17.954842, 0.685056,946.748919
ted_A, 12.335104, 88.117840, 0.615424,1766.168950
ted_AB, 12.447744, 107.433980, 0.760832,1757.695128
ted_AB_unscaled, 12.440576, 107.495888, 0.758784,1762.439280
ted_A_unscaled, 12.335104, 88.117840, 0.620544,1751.596488
ted_B, 12.059648, 30.690967, 0.533504,693.757186
ted_B_unscaled, 12.060672, 30.688360, 0.353280,1047.673890
thermal1, 715.041809, 2.056680, 1.345536,1092.956626
thermal2, 157162.281250, 0.139764, 18.606079,1180.560459
thermomech_TC, 1091.545044, 1.668817, 2.091008,871.153303
thermomech_TK, 1091.541992, 1.668821, 2.088960,872.007381
thermomech_dK, 4359.216309, 1.671480, 5.156864,1412.940780
thermomech_dM, 4357.034180, 0.836160, 4.492288,810.984707
thread, 100.637695, 113.708117, 6.041600,1894.088064
tmt_sym, 55047.613281, 0.236291, 10.118144,1285.538150
tmt_unsym, 87788.210938, 0.133698, 11.300864,1038.601149
tn2010, 6015.199219, 0.508138, 3.521536,867.960135
tomographic1, 455.985138, 3.635178, 1.611776,1028.422812
torsion1, 167.884796, 3.013236, 0.628736,804.592809
torso1, 1416.395752, 15.392760, 13.481984,1617.138826
torso2, 1404.892212, 1.883198, 1.964032,1347.071131
torso3, 7008.670898, 1.617760, 6.714368,1688.669395
tp-6, 15123.783203, 1.952937, 28.286976,1044.148119
trans4, 1425.987549, 1.375870, 2.048000,957.994954
trans5, 1425.982422, 1.375875, 1.904640,1030.102173
transient, 3339.376709, 0.737318, 3.091456,796.447516
trdheim, 54.562817, 90.802304, 2.441216,2029.492456
troll, 4774.694824, 6.425936, 16.077824,1908.335658
ts-palko, 110.882812, 24.862931, 2.057216,1340.098354
tsyl201, 48.792576, 128.804225, 3.250176,1933.646058
tube1, 50.130943, 45.809299, 1.293312,1775.645353
tube2, 50.121727, 45.817722, 1.265664,1814.433684
turon_m, 3765.443604, 1.149570, 3.558400,1216.457583
twotone, 1525.245972, 2.054759, 2.384896,1314.109038
tx2010, 87104.625000, 0.130970, 12.493824,913.095648
usroads, 1741.348877, 0.486420, 1.499136,565.010257
usroads-48, 1661.843506, 0.498954, 1.461248,567.449179
ut2010, 1391.508423, 1.052447, 1.763328,830.525572
va2010, 8518.958008, 0.421348, 3.955712,907.408731
vanbody, 236.313599, 25.315762, 3.261440,1834.299821
venkat01, 409.713654, 10.733222, 2.101248,2092.826485
venkat25, 409.710602, 10.733302, 2.101248,2092.826485
venkat50, 409.708557, 10.733355, 2.106368,2087.739362
venturiLevel3, 0.006144, 6711863.929262, 50.683903,813.625061
vfem, 915.391479, 4.012128, 2.320384,1582.784625
